[07/07/2022 00:33:34] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 00:37:15] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 00:40:18] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 15:56:31] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 18:54:01] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 18:55:16] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 18:56:31] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:00:17] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:03:27] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:06:38] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:46:00] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:50:29] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:53:41] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:57:50] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 19:59:00] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 20:33:33] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 17:40:19] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 17:56:14] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 17:56:43] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 17:57:34] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:01:30] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:02:27] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:05:52] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:09:33] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:13:25] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:15:48] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:23:45] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:25:06] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:25:59] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:28:09] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 18:57:27] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 22:34:45] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 23:05:16] [INFO] received Windows console close event; shutting log-core down
[08/07/2022 23:31:38] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 16:38:22] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 17:38:35] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 17:44:56] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 18:47:44] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 20:01:50] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 20:03:09] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 20:05:06] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 20:06:32] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 20:07:05] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 21:47:37] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 21:51:23] [INFO] received Windows console close event; shutting log-core down
[09/07/2022 21:56:36] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 01:42:40] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 01:43:21] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 13:15:48] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 13:17:32] [INFO] received Windows console close event; shutting log-core down
[10/07/2022 13:19:54] [INFO] received Windows console close event; shutting log-core down
